Hora,Probabilidad
0:00,0.00565682
0:15,0.00691389
0:30,0.00823585
0:45,0.00954567
1:00,0.0107537
1:15,0.0117678
1:30,0.0125057
1:45,0.0129067
2:00,0.0129416
2:15,0.0126175
2:30,0.0119775
2:45,0.0110949
3:00,0.0100631
3:15,0.00898333
3:30,0.00795248
3:45,0.00705338
4:00,0.00634841
4:15,0.00587697
4:30,0.00565655
4:45,0.00568612
5:00,0.00595084
5:15,0.00642678
5:30,0.00708493
5:45,0.0078941
6:00,0.0088226
6:15,0.00983903
6:30,0.0109124
6:45,0.0120118
7:00,0.0131065
7:15,0.0141661
7:30,0.0151604
7:45,0.0160606
8:00,0.0168396
8:15,0.0174736
8:30,0.0179427
8:45,0.0182318
9:00,0.0183315
9:15,0.0182387
9:30,0.0179562
9:45,0.0174933
10:00,0.0168645
10:15,0.0160895
10:30,0.0151915
10:45,0.0141965
11:00,0.0131321
11:15,0.0120257
11:30,0.010904
11:45,0.00979156
12:00,0.00871028
12:15,0.00767859
12:30,0.00671122
12:45,0.00581911
13:00,0.00500951
13:15,0.00428629
13:30,0.0036504
13:45,0.00310045
14:00,0.0026333
14:15,0.00224478
14:30,0.00193034
14:45,0.00168567
15:00,0.00150728
15:15,0.00139307
15:30,0.00134268
15:45,0.00135787
16:00,0.00144265
16:15,0.00160327
16:30,0.00184808
16:45,0.00218704
17:00,0.00263111
17:15,0.00319126
17:30,0.00387739
17:45,0.00469691
18:00,0.00565334
18:15,0.00674481
18:30,0.00796279
18:45,0.00929106
19:00,0.0107052
19:15,0.0121724
19:30,0.0136527
19:45,0.0150999
20:00,0.0164642
20:15,0.0176944
20:30,0.0187415
20:45,0.0195616
21:00,0.0201192
21:15,0.0203895
21:30,0.0203601
21:45,0.0200325
22:00,0.0194214
22:15,0.0185539
22:30,0.0174674
22:45,0.0162069
23:00,0.0148222
23:15,0.0133642
23:30,0.0118823
23:45,0.0104213
