Duracion,Probabilidad
90,0.000794463
91,0.000804564
92,0.000814738
93,0.000824983
94,0.0008353
95,0.000845686
96,0.000856141
97,0.000866665
98,0.000877256
99,0.000887913
100,0.000898636
101,0.000909423
102,0.000920273
103,0.000931186
104,0.00094216
105,0.000953193
106,0.000964286
107,0.000975436
108,0.000986643
109,0.000997905
110,0.00100922
111,0.00102059
112,0.00103201
113,0.00104348
114,0.001055
115,0.00106656
116,0.00107817
117,0.00108983
118,0.00110152
119,0.00111326
120,0.00112504
121,0.00113685
122,0.00114871
123,0.00116059
124,0.00117251
125,0.00118446
126,0.00119645
127,0.00120845
128,0.00122049
129,0.00123255
130,0.00124463
131,0.00125673
132,0.00126885
133,0.00128099
134,0.00129315
135,0.00130531
136,0.00131749
137,0.00132968
138,0.00134187
139,0.00135407
140,0.00136627
141,0.00137847
142,0.00139068
143,0.00140288
144,0.00141507
145,0.00142726
146,0.00143943
147,0.0014516
148,0.00146375
149,0.00147589
150,0.00148801
151,0.00150011
152,0.00151218
153,0.00152423
154,0.00153626
155,0.00154825
156,0.00156021
157,0.00157214
158,0.00158404
159,0.00159589
160,0.00160771
161,0.00161948
162,0.00163121
163,0.00164289
164,0.00165452
165,0.0016661
166,0.00167762
167,0.00168909
168,0.0017005
169,0.00171185
170,0.00172313
171,0.00173435
172,0.0017455
173,0.00175658
174,0.00176759
175,0.00177853
176,0.00178938
177,0.00180016
178,0.00181085
179,0.00182147
180,0.00183199
181,0.00184243
182,0.00185277
183,0.00186303
184,0.00187319
185,0.00188325
186,0.00189321
187,0.00190308
188,0.00191284
189,0.00192249
190,0.00193203
191,0.00194147
192,0.0019508
193,0.00196001
194,0.0019691
195,0.00197808
196,0.00198694
197,0.00199568
198,0.00200429
199,0.00201278
200,0.00202114
201,0.00202938
202,0.00203748
203,0.00204545
204,0.00205329
205,0.00206099
206,0.00206855
207,0.00207597
208,0.00208326
209,0.0020904
210,0.0020974
211,0.00210425
212,0.00211096
213,0.00211752
214,0.00212393
215,0.00213019
216,0.0021363
217,0.00214225
218,0.00214805
219,0.0021537
220,0.00215918
221,0.00216451
222,0.00216968
223,0.0021747
224,0.00217955
225,0.00218424
226,0.00218876
227,0.00219313
228,0.00219732
229,0.00220136
230,0.00220523
