Duracion,Probabilidad
225,0.00221918
226,0.00229725
227,0.00237688
228,0.00245802
229,0.00254064
230,0.00262468
231,0.0027101
232,0.00279683
233,0.0028848
234,0.00297397
235,0.00306424
236,0.00315556
237,0.00324784
238,0.00334099
239,0.00343493
240,0.00352957
241,0.00362481
242,0.00372055
243,0.00381669
244,0.00391312
245,0.00400973
246,0.00410642
247,0.00420305
248,0.00429952
249,0.00439571
250,0.00449148
251,0.00458671
252,0.00468128
253,0.00477506
254,0.00486791
255,0.00495971
256,0.00505032
257,0.00513961
258,0.00522745
259,0.0053137
260,0.00539824
261,0.00548094
262,0.00556165
263,0.00564027
264,0.00571666
265,0.00579069
266,0.00586225
267,0.00593123
268,0.00599749
269,0.00606095
270,0.00612147
271,0.00617898
272,0.00623336
273,0.00628452
274,0.00633237
275,0.00637683
276,0.00641783
277,0.00645528
278,0.00648913
279,0.00651932
280,0.00654578
281,0.00656848
282,0.00658737
283,0.00660242
284,0.0066136
285,0.0066209
286,0.00662429
287,0.00662378
288,0.00661937
289,0.00661106
290,0.00659887
291,0.00658283
292,0.00656295
293,0.00653928
294,0.00651187
295,0.00648075
296,0.006446
297,0.00640766
298,0.00636581
299,0.00632052
300,0.00627188
301,0.00621996
302,0.00616487
303,0.00610669
304,0.00604552
305,0.00598148
306,0.00591467
307,0.0058452
308,0.0057732
309,0.00569878
310,0.00562206
311,0.00554316
312,0.00546223
313,0.00537938
314,0.00529475
315,0.00520847
316,0.00512068
317,0.0050315
318,0.00494107
319,0.00484953
320,0.00475701
321,0.00466364
322,0.00456956
323,0.0044749
324,0.00437978
325,0.00428434
326,0.0041887
327,0.00409298
328,0.00399731
329,0.0039018
330,0.00380658
331,0.00371175
332,0.00361742
333,0.00352369
334,0.00343068
335,0.00333848
336,0.00324719
337,0.00315689
338,0.00306768
339,0.00297963
340,0.00289283
341,0.00280736
342,0.00272327
343,0.00264065
344,0.00255955
345,0.00248003
346,0.00240214
347,0.00232594
348,0.00225148
349,0.00217878
350,0.00210791
351,0.00203887
352,0.00197172
353,0.00190647
354,0.00184315
355,0.00178178
356,0.00172237
357,0.00166494
358,0.0016095
359,0.00155606
360,0.00150461
361,0.00145516
362,0.0014077
363,0.00136224
364,0.00131877
365,0.00127727
366,0.00123774
367,0.00120016
368,0.00116452
369,0.00113079
370,0.00109897
371,0.00106902
372,0.00104092
373,0.00101466
374,0.000990198
375,0.000967515
376,0.000946582
377,0.000927368
378,0.000909843
379,0.000893975
380,0.000879731
381,0.000867079
382,0.000855983
383,0.000846409
384,0.00083832
385,0.000831681
386,0.000826453
387,0.000822599
388,0.000820081
389,0.000818859
390,0.000818895
391,0.000820148
392,0.000822578
393,0.000826144
394,0.000830805
395,0.000836519
396,0.000843244
397,0.000850939
398,0.00085956
399,0.000869065
400,0.00087941
401,0.000890552
402,0.000902447
403,0.000915051
404,0.00092832
405,0.000942211
406,0.000956677
407,0.000971676
408,0.000987162
409,0.00100309
410,0.00101942
411,0.0010361
412,0.00105309
413,0.00107034
414,0.00108782
415,0.00110547
416,0.00112325
417,0.00114113
418,0.00115905
419,0.00117697
420,0.00119486
421,0.00121267
422,0.00123036
423,0.00124789
424,0.00126522
425,0.00128231
426,0.00129913
427,0.00131564
428,0.0013318
429,0.00134758
430,0.00136294
431,0.00137786
432,0.0013923
433,0.00140624
434,0.00141965
435,0.00143249
436,0.00144476
437,0.00145641
438,0.00146744
439,0.00147782
440,0.00148753
441,0.00149656
442,0.00150489
443,0.00151252
