,Tipo,Tamano_Bateria,Potencia,Dia_Conexion,Hora_conexion,SoC_ini,SoC_final,Hora_desconexion,duracion
0,Nissan Leaf,24,1.8,1,84,14,97,24,540
1,Reva,13,,2,92,30,100,24,420
2,Tesla Model S,18,1.8,1,95,0,30,48,781
3,Audi e-tron,18,1.8,1,95,0,35,44,721
4,Tesla Model S,18,1.8,1,4,80,100,12,120
5,Tesla Model X,18,1.8,1,28,90,100,36,120
6,BYD-e5,18,1.8,1,8,70,100,28,300
7,Ford Focus,18,1.8,1,20,85,100,28,120
8,BYD-e5,18,1.8,1,28,65,100,36,120
9,Renault Zoe,18,1.8,1,36,85,100,44,120
10,BYD-e5,18,1.8,1,28,75,95,36,120
11,Fiat 500e,18,1.8,1,30,10,90,50,360
12,Renault Zoe,18,3.6,1,12,20,90,24,180
13,Chevrolet Spark EV,18,3.6,1,30,75,100,38,180
14,Audi e-tron,18,1.8,1,36,80,100,44,120
15,Chevrolet Spark EV,24,1.8,1,36,80,100,44,120
16,Reva,18,3.6,1,16,10,100,48,480
17,Smart ForTwo,18,3.6,1,92,5,100,28,480
18,Hyundai Ioniq EV,24,7.2,1,80,23,100,8,360
19,Smart ForTwo,18,3.6,1,0,0,100,32,480
20,Audi e-tron,18,3.6,1,4,85,100,12,120
21,Mitsubishi iMiev,18,3.6,1,12,80,100,20,120
22,Renault Zoe,18,1.8,1,28,20,100,52,360
23,BYD-e5,18,1.8,1,32,23,95,56,360
24,Ford Focus,18,3.6,1,92,15,95,24,420
25,Reva,18,1.8,1,0,17,95,24,360
26,Ford Focus,18,3.6,1,94,20,95,28,503
27,Nissan Leaf,18,3.6,1,28,10,95,52,360
28,BMW i3,18,1.8,1,92,18,95,20,360
29,Nissan Leaf,24,1.8,1,32,20,95,52,300
30,BMW i3,18,3.6,1,94,8,90,32,570
31,Hyundai Ioniq EV,24,3.6,1,92,5,95,52,840
32,Nissan Leaf,24,1.8,1,0,20,90,44,660
33,Ford Focus,18,3.6,1,94,60,100,12,270
34,Mitsubishi iMiev,24,1.8,1,52,35,95,72,300
35,BMW i3,24,1.8,1,48,70,90,64,240
36,Renault Zoe,18,3.6,1,56,80,100,68,180
37,Hyundai Ioniq EV,24,3.6,1,48,13,95,64,240
38,Mitsubishi iMiev,24,1.8,1,92,15,95,24,420
39,BMW i3,24,1.8,1,16,25,95,52,540
40,Hyundai Ioniq EV,24,1.8,1,92,20,95,20,360
41,Nissan Leaf,18,3.6,1,48,30,95,60,180
42,Hyundai Ioniq EV,24,1.8,1,52,23,95,72,300
43,Ford Focus,18,3.6,1,32,30,90,52,300
44,Nissan Leaf,24,1.8,1,8,15,90,52,660
45,Renault Zoe,24,1.8,1,92,20,95,32,540
46,Fiat 500e,24,1.8,1,36,60,95,56,300
47,BYD-e5,24,1.8,1,36,10,95,72,540
48,BMW i3,18,1.8,1,92,15,95,36,600
49,Audi e-tron,24,1.8,1,48,20,95,68,300
50,BMW i3,18,1.8,1,32,18,95,56,360
51,BMW i3,24,1.8,1,8,12,95,58,750
52,Chevrolet Bolt,24,1.8,1,12,22,95,52,600
53,BMW i3,24,1.8,1,28,10,95,56,420
54,BMW i3,22,7.2,1,76,50,100,91,229
55,BMW i3,42,,2,60,15,100,80,300
56,Nissan Leaf,24,1.8,1,72,20,100,24,720
57,Hyundai Ioniq EV,28,7.2,2,88,45,100,24,480
58,Nissan Leaf,24,1.8,1,76,60,100,24,660
59,BMW i3,30,3.6,1,80,20,100,32,720
60,Nissan Leaf,24,7.2,1,72,60,100,88,240
61,BMW i3,33,16.0,2,80,10,100,6,330
62,Reva,18,3.6,2,64,5,100,84,300
63,Hyundai Ioniq EV,28,1.8,2,76,50,100,28,720
64,Hyundai Ioniq EV,28,7.2,1,93,35,100,12,280
65,Chevrolet Spark EV,18,1.8,1,84,60,100,28,600
66,Nissan Leaf,24,3.6,1,88,20,80,32,600
67,BMW i3,35,7.2,2,72,10,100,92,300
68,BMW i3,24,7.2,1,37,15,100,1,960
69,Nissan Leaf,24,1.8,1,32,20,100,24,1370
70,Nissan Leaf,,1.8,1,80,32,100,44,900
71,Nissan Leaf,24,7.2,1,80,20,100,24,600
72,Mitsubishi iMiev,16,7.2,1,72,15,100,88,240
73,BMW i3,24,1.8,1,44,1,100,78,510
74,Nissan Leaf,24,3.6,1,32,50,100,38,90
75,Nissan Leaf,30,1.8,2,84,25,85,24,540
76,Reva,18,1.8,2,32,10,100,47,225
77,BMW i3,33,7.2,2,72,10,100,90,270
78,BMW i3,24,7.2,1,44,50,100,12,960
79,BMW i3,18,7.2,1,72,50,90,80,120
80,Nissan Leaf,24,4.4,2,88,18,100,8,240
81,Reva,9,1.8,2,0,0,100,16,240
82,Reva,9,1.8,2,32,0,100,52,300
83,Nissan Leaf,24,3.6,2,80,20,100,24,600
84,Reva,9,3.6,1,80,10,100,24,600
85,Nissan Leaf,24,7.2,1,80,20,100,0,240
86,Reva,9,3.6,2,0,10,100,24,360
